rank,country,agility,entrepreneurship,quality of life,movers,social purpose,cultural influence,open for business,power,adventure,heritage
1,Canada,3,6,1,46,1,14,3,12,19,33
2,Japan,7,1,13,6,20,5,26,6,28,10
3,Germany,4,2,9,39,11,9,18,4,47,27
4,Switzerland,14,7,5,21,9,8,1,17,13,21
5,Australia,2,12,6,18,8,16,12,16,8,23
6,United States,1,3,20,24,19,3,45,1,31,16
7,New Zealand,9,19,10,16,3,19,6,31,7,28
8,United Kingdom,12,4,14,42,14,4,23,5,37,13
9,Sweden,10,10,3,45,4,10,5,26,22,38
10,Netherlands,8,11,7,40,5,18,10,23,15,31
11,France,17,14,17,33,15,2,28,7,12,4
12,Denmark,11,13,2,53,2,21,4,34,36,51
13,Norway,15,15,4,34,6,23,7,32,20,35
14,Singapore,5,8,16,4,25,15,14,20,18,36
15,South Korea,6,5,18,8,29,7,39,8,52,42
16,Italy,19,21,22,20,17,1,30,15,2,2
17,China,13,9,23,5,68,11,55,2,55,12
18,Finland,18,18,8,44,7,24,9,45,26,43
19,Spain,20,25,19,29,18,6,27,18,3,1
20,Belgium,16,17,12,58,12,26,13,24,38,29
21,Austria,22,16,11,59,10,27,15,35,23,22
22,United Arab Emirates,21,20,24,1,76,12,51,10,53,53
23,Ireland,23,23,15,38,13,31,8,43,14,18
24,Russia,25,22,31,11,43,28,78,3,51,15
25,India,30,28,38,2,60,25,43,13,41,6
26,Brazil,24,37,52,9,34,13,68,19,1,14
27,Greece,32,32,26,17,21,17,34,49,4,3
28,Thailand,36,36,29,7,53,22,17,27,5,7
29,Portugal,26,26,21,56,16,30,19,41,9,11
30,Israel,28,24,36,12,39,39,65,11,64,30
31,Mexico,33,39,41,15,42,20,57,30,6,5
32,Qatar,27,27,34,13,78,33,52,22,72,77
33,Egypt,46,46,51,3,54,32,66,29,27,8
34,Turkey,35,35,40,19,63,29,69,14,21,9
35,Saudi Arabia,39,29,33,10,67,35,77,9,75,55
36,Malaysia,31,33,28,26,52,38,11,38,25,34
37,Indonesia,41,43,35,27,48,40,22,37,32,26
38,Morocco,52,62,47,14,58,36,31,58,24,17
39,Costa Rica,44,61,45,31,36,37,16,70,10,50
40,Vietnam,50,44,32,23,73,49,21,25,40,25
41,South Africa,37,38,63,25,35,41,63,28,30,24
42,Argentina,29,41,59,41,28,34,73,48,11,19
43,Poland,38,30,25,73,22,45,41,50,45,32
44,Philippines,45,42,39,37,50,42,25,44,17,40
45,Czechia,34,31,27,69,23,56,54,66,48,45
46,Croatia,40,40,37,61,27,44,37,73,35,41
47,Sri Lanka,71,65,58,22,64,48,20,56,43,47
48,Hungary,43,34,30,64,24,57,53,68,46,39
49,Chile,42,49,43,49,41,50,38,57,33,37
50,Peru,61,66,57,32,46,47,44,65,34,20
51,Panama,57,52,62,57,47,52,2,61,39,58
52,Dominican Republic,59,73,53,48,44,46,24,67,16,61
53,Kenya,66,70,69,28,49,53,47,59,44,54
54,Colombia,48,58,60,50,45,43,71,51,29,46
55,Cambodia,77,69,49,35,74,58,32,53,56,48
56,Jordan,63,63,68,36,62,51,61,46,65,44
57,Estonia,51,45,48,72,26,73,35,78,66,69
58,Myanmar,75,74,67,30,72,67,49,54,69,62
59,Uruguay,47,60,55,66,37,62,46,72,50,60
60,Slovenia,49,54,54,74,32,66,29,77,60,65
61,Bulgaria,56,47,42,71,31,64,58,74,58,57
62,Slovakia,53,53,46,77,33,65,33,71,62,64
63,Romania,62,50,44,68,40,55,59,69,54,49
64,Latvia,55,55,50,78,30,77,36,76,68,72
65,Tunisia,69,67,66,54,75,54,48,62,49,52
66,Azerbaijan,60,71,73,43,56,68,67,47,73,73
67,Lithuania,58,48,56,76,38,78,42,75,70,70
68,Ecuador,65,72,65,62,57,60,50,64,42,59
69,Guatemala,72,77,64,55,61,70,40,63,59,67
70,Oman,67,56,70,52,70,59,60,52,77,78
71,Ukraine,54,51,61,67,51,63,75,33,57,63
72,Kazakhstan,70,75,71,47,69,76,72,40,76,76
73,Uzbekistan,76,76,76,51,65,74,64,42,74,75
74,Lebanon,73,64,77,60,71,61,70,39,71,56
75,Belarus,64,57,72,65,59,72,74,36,63,71
76,Serbia,68,59,74,75,55,75,62,55,67,66
77,El Salvador,74,78,75,70,66,71,56,60,61,74
78,Iraq,78,68,78,63,77,69,76,21,78,68
